0,1,131
0,3,6
0,4,382
0,9,108
0,11,42
0,12,133
0,18,34
0,19,258
0,21,333
0,24,36
0,25,92
0,26,53
0,27,54
0,29,404
0,30,49
0,31,6
0,34,501
0,36,34
0,41,46
0,42,51
0,43,54
0,44,6
0,45,7
0,46,22
0,50,19
0,54,25
0,59,5
0,70,312
0,72,239
0,73,47
0,76,111
0,77,74
0,84,7
0,86,15
0,88,32
0,91,174
0,96,13
0,98,480
0,99,39
0,117,5
0,118,28
0,125,250
0,126,12
0,127,23
0,130,5
0,134,11
0,135,7
0,141,91
0,144,9
0,156,21
0,169,29
0,174,60
0,186,35
0,189,22
0,195,505
0,198,32
0,206,34
0,207,5
0,220,244
0,225,5
0,231,8
0,232,11
0,233,8
0,236,10
0,242,131
0,250,143
0,255,94
0,260,68
0,268,5
0,270,12
0,271,8
0,274,114
0,283,6
0,293,11
0,309,30
0,313,26
0,329,74
0,332,13
0,345,179
0,363,28
0,364,238
0,391,24
0,401,194
0,429,28
0,433,5
0,494,27
0,512,29
0,522,18
0,524,28
0,529,75
0,571,16
0,576,38
0,581,6
0,591,24
0,599,27
0,606,58
0,615,11
0,654,13
0,690,59
0,696,32
0,703,6
0,704,21
0,705,8
0,717,10
0,732,11
0,733,13
0,743,72
0,764,16
0,779,37
0,792,143
0,798,20
0,807,7
0,815,54
0,824,14
0,859,7
0,892,8
0,912,15
0,916,39
0,918,12
0,939,5
0,941,7
0,943,10
0,944,201
0,958,7
0,969,25
0,991,14
0,1030,6
0,1037,11
0,1059,71
0,1062,5
0,1123,9
0,1126,21
0,1131,24
0,1146,7
0,1156,9
0,1170,5
0,1181,11
0,1184,23
0,1187,5
0,1196,81
0,1240,6
0,1278,18
0,1282,5
0,1292,11
0,1310,83
0,1385,14
0,1415,9
0,1425,13
0,1519,15
0,1536,5
0,1537,8
0,1586,151
0,1592,5
0,1597,5
0,1606,234
0,1618,45
0,1632,22
0,1647,62
0,1746,61
0,1805,9
0,1898,15
0,1928,23
0,1970,6
0,1974,23
0,2186,45
0,2238,5
0,2239,9
0,2272,7
0,2310,6
0,2311,7
0,2414,12
0,2483,9
0,2578,70
0,2605,11
0,2616,91
0,2650,5
0,2706,78
0,2767,5
0,2925,31
0,2944,80
0,3003,61
0,3051,77
0,3055,52
0,3078,5
0,3127,6
0,3176,59
0,3279,9
0,3683,11
0,3901,6
0,3922,5
0,4078,6
0,4315,30
0,4355,22
0,4522,6
0,4541,8
0,4646,6
0,4897,5
0,4948,103
0,5535,40
0,5850,9
0,6082,9
0,6567,7
0,6652,5
0,7298,23
0,7315,28
0,8009,6
0,8079,5
0,8112,5
0,8456,19
0,8688,10
0,9360,14
1,4,571
1,9,43
1,11,42
1,12,93
1,18,39
1,19,353
1,21,287
1,24,26
1,25,75
1,26,140
1,27,45
1,29,1300
1,30,77
1,31,19
1,34,525
1,36,55
1,41,73
1,42,56
1,43,50
1,46,37
1,50,19
1,54,52
1,59,6
1,70,278
1,72,1092
1,73,37
1,76,130
1,77,158
1,78,5
1,79,6
1,84,7
1,86,17
1,88,39
1,91,216
1,96,10
1,98,673
1,99,76
1,101,5
1,115,6
1,118,31
1,125,311
1,126,30
1,127,21
1,134,21
1,137,6
1,141,166
1,144,8
1,156,37
1,169,120
1,174,119
1,181,5
1,186,39
1,189,19
1,195,1476
1,198,48
1,206,12
1,207,87
1,208,6
1,212,6
1,220,229
1,225,5
1,231,9
1,232,8
1,233,10
1,236,23
1,242,191
1,250,192
1,255,125
1,260,73
1,267,5
1,269,23
1,270,22
1,271,9
1,273,7
1,274,154
1,283,14
1,288,15
1,293,10
1,294,6
1,296,7
1,309,17
1,313,42
1,329,158
1,332,32
1,333,7
1,342,7
1,345,278
1,350,6
1,358,5
1,363,69
1,364,234
1,377,7
1,391,34
1,401,239
1,403,6
1,412,7
1,420,6
1,427,6
1,429,52
1,433,11
1,435,6
1,458,5
1,471,8
1,472,9
1,485,5
1,494,28
1,498,6
1,512,51
1,513,5
1,522,34
1,524,44
1,529,72
1,531,24
1,571,26
1,576,73
1,581,19
1,582,9
1,591,58
1,599,52
1,606,174
1,615,36
1,626,8
1,641,5
1,651,5
1,654,24
1,658,6
1,661,6
1,666,8
1,673,8
1,674,6
1,687,8
1,690,76
1,691,7
1,696,60
1,703,6
1,704,18
1,705,10
1,717,5
1,719,7
1,733,33
1,743,229
1,764,14
1,774,7
1,779,28
1,792,184
1,798,52
1,807,8
1,814,7
1,815,55
1,852,6
1,868,6
1,892,11
1,895,5
1,912,23
1,916,119
1,918,13
1,940,5
1,941,15
1,943,7
1,944,709
1,958,9
1,969,32
1,991,13
1,1017,6
1,1037,7
1,1050,15
1,1059,103
1,1062,15
1,1084,5
1,1120,5
1,1124,6
1,1126,50
1,1131,56
1,1134,7
1,1143,10
1,1146,6
1,1156,10
1,1170,10
1,1173,5
1,1181,9
1,1184,40
1,1187,10
1,1196,133
1,1216,6
1,1240,14
1,1261,6
1,1278,35
1,1282,8
1,1292,26
1,1303,8
1,1310,176
1,1327,5
1,1415,5
1,1422,6
1,1425,25
1,1483,6
1,1485,5
1,1515,7
1,1519,32
1,1536,9
1,1537,12
1,1552,6
1,1586,113
1,1597,42
1,1606,305
1,1613,6
1,1618,64
1,1632,15
1,1647,42
1,1654,6
1,1665,7
1,1702,5
1,1746,155
1,1764,9
1,1805,21
1,1816,9
1,1824,5
1,1842,5
1,1898,19
1,1903,5
1,1917,10
1,1928,18
1,1953,5
1,1974,33
1,2010,10
1,2147,5
1,2186,81
1,2187,6
1,2202,5
1,2209,5
1,2239,7
1,2255,17
1,2310,13
1,2311,12
1,2414,23
1,2466,5
1,2483,12
1,2488,6
1,2578,144
1,2605,9
1,2616,131
1,2650,12
1,2701,5
1,2706,150
1,2767,10
1,2792,5
1,2812,7
1,2925,81
1,2944,84
1,2971,12
1,2976,5
1,3003,90
1,3051,143
1,3055,51
1,3124,6
1,3127,11
1,3155,5
1,3176,114
1,3202,7
1,3279,10
1,3410,11
1,3683,13
1,3901,12
1,3922,14
1,3943,18
1,3995,11
1,4078,71
1,4162,11
1,4315,57
1,4355,32
1,4380,5
1,4522,5
1,4541,78
1,4646,17
1,4948,129
1,5181,10
1,5269,5
1,5535,104
1,5594,7
1,5782,5
1,5850,17
1,6082,16
1,6494,5
1,6567,9
1,7156,5
1,7187,7
1,7298,70
1,7315,80
1,8079,6
1,8112,9
1,8456,37
1,8688,15
1,9360,18
1,9643,5
1,9733,11
1,11022,5
2,8,12
2,10,10
2,14,5
2,18,8
2,31,7
2,35,8
2,36,6
2,53,6
2,55,8
2,57,18
2,61,8
2,67,14
2,72,11
2,76,7
2,78,12
