Source,Target,Type,Id,Label,timeset,Weight
137,137,directed,241,,,2
137,137,directed,242,,,2
139,139,directed,243,,,15
139,139,directed,244,,,15
139,139,directed,245,,,15
139,139,directed,246,,,15
139,139,directed,247,,,15
139,139,directed,248,,,15
139,139,directed,249,,,15
139,139,directed,250,,,15
139,139,directed,251,,,15
139,590,directed,252,,,1
139,139,directed,253,,,15
139,139,directed,254,,,15
139,139,directed,255,,,15
139,837,directed,256,,,1
139,139,directed,257,,,15
139,139,directed,258,,,15
139,139,directed,259,,,15
139,994,directed,260,,,1
140,211,directed,261,,,1
140,192,directed,262,,,1
145,191,directed,263,,,2
145,2570,directed,264,,,1
145,191,directed,265,,,2
145,1418,directed,266,,,1
145,2849,directed,267,,,1
145,607,directed,268,,,1
151,151,directed,269,,,1
151,2488,directed,270,,,1
151,5565,directed,271,,,1
154,730,directed,272,,,1
159,38,directed,273,,,1
159,159,directed,274,,,1
160,160,directed,275,,,1
164,164,directed,276,,,1
170,1839,directed,277,,,1
173,173,directed,278,,,15
173,287,directed,279,,,2
173,173,directed,280,,,15
173,173,directed,281,,,15
173,287,directed,282,,,2
173,173,directed,283,,,15
173,173,directed,284,,,15
173,173,directed,285,,,15
173,173,directed,286,,,15
173,1919,directed,287,,,1
173,173,directed,288,,,15
173,173,directed,289,,,15
173,173,directed,290,,,15
173,173,directed,291,,,15
173,173,directed,292,,,15
173,173,directed,293,,,15
173,2726,directed,294,,,1
173,173,directed,295,,,15
173,4048,directed,296,,,1
173,247,directed,297,,,1
173,173,directed,298,,,15
173,137,directed,299,,,1
173,234,directed,300,,,1
173,4770,directed,301,,,1
175,369,directed,302,,,1
175,175,directed,303,,,3
175,175,directed,304,,,3
175,1023,directed,305,,,1
175,649,directed,306,,,1
175,175,directed,307,,,3
177,66,directed,308,,,1
179,558,directed,309,,,2
179,558,directed,310,,,2
179,370,directed,311,,,1
179,224,directed,312,,,4
179,590,directed,313,,,1
179,112,directed,314,,,14
179,139,directed,315,,,6
179,199,directed,316,,,1
179,179,directed,317,,,2
179,179,directed,318,,,2
179,893,directed,319,,,1
179,112,directed,320,,,14
179,333,directed,321,,,1
179,524,directed,322,,,1
179,400,directed,323,,,2
179,55,directed,324,,,3
179,161,directed,325,,,1
179,648,directed,326,,,1
179,206,directed,327,,,1
179,593,directed,328,,,1
179,55,directed,329,,,3
179,585,directed,330,,,1
179,265,directed,331,,,3
179,28,directed,332,,,1
179,500,directed,333,,,1
179,1060,directed,334,,,1
179,89,directed,335,,,2
179,412,directed,336,,,1
179,759,directed,337,,,1
179,139,directed,338,,,6
179,444,directed,339,,,2
179,898,directed,340,,,1
179,1132,directed,341,,,1
179,2022,directed,342,,,1
179,480,directed,343,,,1
179,8,directed,344,,,1
179,1,directed,345,,,10
179,105,directed,346,,,2
179,1766,directed,347,,,2
179,88,directed,348,,,1
179,676,directed,349,,,2
179,105,directed,350,,,2
179,681,directed,351,,,1
179,773,directed,352,,,1
179,139,directed,353,,,6
179,29,directed,354,,,1
179,113,directed,355,,,4
179,140,directed,356,,,2
179,112,directed,357,,,14
179,89,directed,358,,,2
179,1952,directed,359,,,1
179,197,directed,360,,,1
179,146,directed,361,,,1
179,7,directed,362,,,1
179,231,directed,363,,,5
179,194,directed,364,,,1
179,136,directed,365,,,2
179,113,directed,366,,,4
179,224,directed,367,,,4
179,244,directed,368,,,2
179,1,directed,369,,,10
179,96,directed,370,,,2
179,75,directed,371,,,1
179,1,directed,372,,,10
179,149,directed,373,,,1
179,1070,directed,374,,,1
179,1,directed,375,,,10
179,449,directed,376,,,1
179,830,directed,377,,,1
179,1707,directed,378,,,1
179,567,directed,379,,,1
179,98,directed,380,,,3
179,55,directed,381,,,3
179,518,directed,382,,,1
179,1,directed,383,,,10
179,1163,directed,384,,,1
179,626,directed,385,,,1
179,879,directed,386,,,1
179,2237,directed,387,,,1
179,833,directed,388,,,1
179,628,directed,389,,,1
179,249,directed,390,,,1
179,282,directed,391,,,2
179,686,directed,392,,,2
179,265,directed,393,,,3
179,209,directed,394,,,3
179,94,directed,395,,,1
179,266,directed,396,,,2
179,1709,directed,397,,,1
179,676,directed,398,,,2
179,112,directed,399,,,14
179,282,directed,400,,,2
179,307,directed,401,,,1
179,874,directed,402,,,2
