Id,Label,timeset,size
267,844004856,,82
268,1424693773636751362,,1
269,763127617780346882,,743
270,24987923,,7
271,1435333521686601730,,203
272,1444794339264245765,,234
273,1434622959684145153,,127
274,4276417942,,43
275,1240259828456415233,,14
276,1412479597594112001,,48
277,1446027490271629316,,289
278,1447462722837245954,,68
279,1443593134957420553,,445
280,305089609,,183
281,1435499473908617225,,99
282,1446969694863429633,,309
283,1444144025439817733,,22
284,1440745405449261056,,3003
285,1426800123938443271,,6
286,21963516,,7
287,1432903694274596870,,61
288,1373133641954463747,,21
289,1446066495465926659,,160
290,1434510982080958467,,193
291,1363254130911944706,,255
292,1442221538380447745,,173
293,1386077458932195328,,1
294,1386276828759855109,,1098
295,1364852178263883778,,36
296,2895376252,,1
297,14196323,,164
298,1402602669064306688,,138
299,1433597569859457024,,1026
300,1371741609449037844,,29
301,1444938628296155140,,25
302,1447646735938039811,,6
303,256001753,,2
304,1445793147523452930,,25
305,1431822456524664838,,445
306,1434146643012587522,,258
307,1428723280853311490,,282
308,1400093139277434884,,6
309,1447256985339113476,,21
310,758663817551343616,,137
311,1375288573344157708,,265
312,1327599681711480832,,34
313,1353744517036437507,,202
314,1439185697492045826,,28
315,1437439923766759426,,2
316,911331361956548609,,799
317,1438167318304022538,,22
318,1442529840519778304,,103
319,1424671691775512576,,397
320,1429279222967767041,,7
321,978781681,,489
322,1444963818933719045,,17
323,1282116462774288384,,4
324,1361729055628943360,,392
325,1438472153612050439,,2
326,1444576459746463748,,44
327,1442462742695145477,,164
328,1360700352044048384,,6
329,1442565511171096584,,66
330,1442491807225421840,,40
331,1396863291394232326,,102
332,1438408202220032001,,91
333,1428791046302015498,,595
334,1295324707298967552,,100
335,1441291906760073219,,26
336,1433701002922762242,,27
337,1370024149070979078,,67
338,1446784236527095808,,94
339,1265223205230383104,,19
340,1434220174010462211,,33
341,1437728679346401281,,24
342,1431154325355581444,,2
343,1445225088639328258,,3
344,1442868209229582337,,36
345,346526830,,272
346,1400638510562828289,,6
347,1446408535282126850,,28
348,1435506998783746050,,118
349,1402278190400299010,,14
350,1365566451361415168,,717
351,1444569162676940809,,8
352,1401632114014101510,,69
353,1436386220364468232,,1
354,1427504484096167937,,32
355,1385338514099904525,,22
356,1306959182,,7
357,1423681705412603904,,348
358,1446911167386030081,,39
359,1432892540387086337,,29
360,1384489333432881154,,83
361,1310355823,,26
362,1392727294117023744,,1
363,1447680971994697729,,597
364,1432201256106270725,,7
365,1435237281439289347,,15
366,1441922132410134533,,8
367,1440241367905566729,,4
368,1434734265619685377,,279
369,1387608608930770945,,21
370,1295358300725235712,,464
371,1415601219226140672,,395
372,1370598716311175176,,1
373,998722801975476224,,95
374,1443220595911667716,,29
375,946901394677575680,,76
376,164629019,,1236
377,1436021091693051904,,370
378,1392782755428290560,,83
379,1446202361626644485,,425
380,1429747327602860034,,230
381,2535946478,,3
382,1368744682751156224,,1
383,1360377122867408898,,5
384,1446113312513531908,,6
385,1434347379793154050,,30
386,1444398226321326081,,170
387,1436393119755472901,,36
388,1371589013451149319,,16
389,907549410195800066,,1
390,1445406350410928131,,58
391,1435299252511592455,,21
392,1427670008482521097,,50
393,1230645729963712513,,6
394,1442623269308350468,,207
395,1436809986009706502,,61
396,1440719310972809222,,38
397,18698960,,307
398,1362156821839040513,,23
399,1434933085645287427,,226
400,389010886,,678
401,2364233382,,101
402,1435989869495468032,,5
403,1264719891908538369,,16
404,116788515,,203
405,1428969039661993989,,37
406,91935473,,708
407,1420229901945344002,,41
408,1441392306259574794,,13
409,1442781147537235968,,101
410,1420763128661520386,,365
411,214406252,,168
412,1444449988466167809,,322
413,1445309154038587394,,75
414,1434253353878491138,,37
415,1430721337912303622,,44
416,1436146078982684692,,9
417,1421399740953022465,,20
418,184081329,,774
419,1439081860223668225,,4
420,999416315793227776,,187
421,1436157393503600643,,22
422,1409902623780601857,,125
423,1441426941077180418,,153
424,1359560099287736320,,29
425,1438788256905244674,,87
426,1243021690621136898,,82
427,1436796289287692293,,60
428,1305245810184073222,,3
429,1441155298148847625,,30
430,1438094797592530948,,11
431,1259176366274154496,,202
432,1438076992281137164,,54
433,1442140153305174016,,350
434,2649429956,,130
435,1438368069504495616,,1
436,1441310075935617027,,2
437,1060660764,,12
438,1437869483922759684,,28
439,1439420928467746816,,8
440,805923114387382272,,8
441,1433184235230273536,,9
442,1444994706555817995,,59
443,1447145040934051844,,57
444,1266351467855740930,,161
445,1367740585738702849,,15
446,1437903708315062278,,3
447,930844400694976512,,20
448,1431916675129954305,,65
449,1442002073113923585,,370
450,1433230741278756866,,153
451,1418442325361979392,,466
452,1370947850096451586,,38
453,1430092935928766465,,204
454,1432717340748271631,,8
455,1356005087471087618,,450
456,1440596697273360392,,38
457,1413908765448065026,,3
458,1144839226242023429,,18
459,1435555531951951881,,186
460,1443068049351925763,,128
461,1430355096886382593,,48
462,1439550835579555840,,286
463,1443135267603292162,,17
464,1431002681468874753,,1162
465,1392424896735727617,,15
466,16335666,,83
467,1431911466936922112,,46
468,1439876591274844165,,11
469,1390323666601250818,,525
470,1442953475378356224,,40
471,1445353122642087942,,4
472,1448277575055282177,,1
473,1381061918077583361,,289
474,1424760075109888003,,637
475,1447138048232226820,,44
476,1344180612177879041,,1
477,1425897390779731975,,11
478,1433915721885569025,,10
479,1374762977518292993,,32
480,1438218940220678153,,108
481,1447770753508814850,,1
482,1426858758706278400,,151
483,1444849891268759552,,118
484,1369900476133613569,,24
485,1441117761682305032,,2
486,1448109480936304640,,1
487,1426635086112464899,,2
488,1265550342969835522,,33
489,516283916,,42
490,1377575199692914691,,25
491,1396830776474357760,,45
492,1431264097241346056,,148
493,1285400170197393523,,1
494,1422267906008797186,,438
495,1410292684179361798,,20
496,1438568743618101248,,54
497,1443295324810924033,,13
498,1420942010660311052,,19
499,1449685477,,2
500,1431801223104004097,,76
501,995768778402271232,,26
502,1438174285693165573,,1000
503,337314868,,1295
504,1430363118392147968,,188
505,1424109660471107585,,6
506,1331596373058174981,,46
507,1148283863874932736,,151
508,1443388540847640577,,1
509,1445916895195009029,,268
510,1371461154032254976,,18
511,1371936863028531202,,1744
512,972440536077369349,,39
513,1433657630602452992,,2
514,1437636883375398913,,23
515,1393618945182031873,,5
516,1441419995800432651,,168
517,1410332128664035333,,4
518,1301882962275950594,,83
519,1343687986953777152,,115
520,1184331517255806976,,119
521,1430115597463875591,,310
522,258964238,,8
523,1410283521160196098,,107
524,1428050960262344713,,104
525,1392682399981518848,,187
526,1432806074894094337,,4
527,352659819,,1
528,1111845497042599937,,2
529,1401296002812825601,,1
530,1438513420249145346,,8
531,795985243773599744,,320
532,1250668016087429121,,623
533,1437146604658647041,,12
534,1430013604661587970,,6
535,1424979332154359809,,17
536,1439177717338025986,,5
537,1435480277120335876,,97
538,1443913253520822275,,5
539,1434813083977977856,,59
540,997379547350773760,,1987
541,1414817320619307009,,111
542,1429132199240994818,,330
543,1404971067672875015,,434
544,1443612721027551233,,51
545,1432397008158011394,,21
546,1367552114642321410,,56
547,1439550333089292295,,30
548,1426816186138853381,,2
549,1027265533341773824,,2
550,1589878758,,1
551,1405182592396140550,,12
552,1107054660,,41
553,1433046097996435459,,163
554,2388821563,,2
555,2390231708,,30
556,1377955470732759042,,1
557,1447499283553472517,,21
558,1435303151062691840,,35
559,1436380014002511874,,27
560,1409395022131126275,,120
561,1397032177343373313,,36
562,1393289741957836802,,68
563,1417267646068887554,,6
564,192608058,,4
565,1437744683216633862,,4
566,1436738021248884740,,40
567,1406302916990976009,,140
568,1398276644947709952,,6
569,1428928108724293634,,55
570,1382022617205383169,,53
571,1363709410736934916,,113
572,1431059462886854656,,6
573,1378549422687199232,,102
574,1557385255,,1
575,912987663052836864,,128
576,877807935493033984,,3
577,1439316094179762180,,125
578,1034478294677250048,,144
579,1437102920663814146,,3
580,1384638818758836224,,6
581,1374949494182322176,,20
582,1432347378435112964,,19
583,1425773172096335873,,55
584,1437768829053120515,,22
585,1368185109149532164,,305
586,1438470412590108675,,56
587,1438054514968383488,,31
588,1438433051449573376,,125
589,1348371427880275969,,64
590,1439712154144366602,,98
591,1439187429337059331,,135
592,1422869367163953154,,444
593,1434842072280801282,,56
594,1354247746102964226,,42
595,1439642707144630272,,28
596,1445832951007092743,,8
597,1422334751143251968,,1
598,1419951948128731159,,19
599,1447787424353071104,,266
600,1443239948438671360,,51
601,1362851755827081223,,272
602,1434925222642192384,,166
603,1418036028984553472,,52
604,1443241580287217677,,166
605,1432247557711753219,,2
606,1434634576689778706,,21
607,3569947753,,69
608,1434142295998226435,,541
609,1443662320308195329,,1467
610,816625538844344321,,6
611,1438124629348917258,,48
612,1438994781883994112,,37
613,1305194337127497730,,5
614,343617864,,9
615,1438291620017889283,,8
616,1438953208756506631,,39
617,3645277337,,89
618,1432254043330686978,,73
619,1422651302979461121,,12
620,1402716477803929600,,107
621,1428161479476383745,,14
622,1442938347492610048,,4
623,1391537561584115715,,24
624,1430784129126309888,,77
625,1433948480276402177,,59
626,1375183948050018315,,51
627,1366408293174935556,,20
628,199739727,,67
629,1429226582212816909,,94
630,1378112496477814790,,18
631,1405303432358027271,,125
632,1444080595814916096,,51
633,1442955797613383680,,146
634,1445107711935320068,,1
635,1347140802577788928,,45
636,1275360154360246273,,135
637,1427058815451553795,,206
638,1436047041659035652,,8
639,1416244150291238913,,42
640,1433113424498552836,,8
641,1389178216514875397,,25
642,1443132838916890626,,179
643,1233116437679673345,,2
644,1363740802552188931,,22
645,1441392771798028288,,29
646,2875370817,,8
647,797709189644578821,,94
648,1395794187539394564,,148
649,1444958197027151874,,7
650,1424148996289974275,,63
651,1396577592740913157,,108
652,1437955021987979265,,1
653,1383874186687352835,,19
654,1416462117343875074,,202
655,1428133357330829312,,17
656,912539725071777792,,605
657,1387823079485755400,,43
658,1441412848660324359,,75
659,944445110074437637,,282
660,1434767128125714440,,28
661,1044247605989896193,,5
662,33732897,,1510
663,494481141,,12
664,952087880918228992,,25
665,1390243048622329857,,82
666,1433172408932896772,,341
667,1444934051333226503,,56
668,574814599,,20
669,2796756608,,5
670,1444661134552825868,,4
671,1410184694419935232,,67
672,1434337984141307904,,24
673,1434254374952394757,,50
674,1445238039484067845,,61
675,1424602586993205251,,3
676,131488891,,432
677,1429090223099564035,,62
678,1418841648985948167,,3
679,1417864427391655937,,33
680,1443254136724758534,,145
681,1434819722726412288,,113
682,1400857206476640262,,47
683,1374495756736811013,,2
684,1446785148264009729,,36
685,1443617515792310290,,33
686,2781164071,,251
687,1439518932268814336,,33
688,159009025,,93
689,1435293189972316164,,26
690,1371848692702052360,,89
691,1058745984170115072,,54
692,1423770233924374536,,113
693,1435250025689333763,,74
694,1445168934135554050,,5
695,1442857589503508484,,10
696,1093769435637116928,,35
697,1406367573663387652,,1
698,1440803368650244103,,2
699,1442468830794551296,,33
700,1376635672954613763,,140
701,3909452355,,7
702,1431789050827091972,,113
703,1410674320825753604,,2
704,1439940538782949380,,36
705,1354287307969462274,,1
706,148581410,,668
707,1436428118403784712,,29
708,1443625960780279814,,25
709,1442418334234935302,,34
710,1393886704763760644,,29
711,1430907759105437698,,137
712,1379880401901002752,,97
713,1444513837793910787,,95
714,1393573510308528134,,3
715,1434825940840898560,,51
716,1422769188012101637,,1
717,1442299172279836675,,14
718,1444465508263280641,,10
719,1336806488451366914,,24
720,1388412378593722368,,74
721,1377713365431296001,,495
722,875423853794779136,,1022
723,46957344,,6
724,1391228372051660803,,144
725,1260953582897111042,,160
726,1374463766935470081,,47
727,1171719416389591041,,72
728,1092268921296732160,,26
729,1427640860204752902,,43
730,1433897004829007873,,359
731,1445155265083580425,,6
732,1371822561818935309,,12
733,1424822987308548108,,129
734,1341039350562361344,,304
735,118639757,,42
736,1403277739478507526,,9
737,1434178422952005635,,41
738,1443035708973670407,,206
739,1396801836053524489,,630
740,1357796979087081476,,48
741,864347902029709314,,146
742,1454746669,,393
743,1339583553785380873,,27
744,1441421574255431699,,31
745,1391770589493268483,,2
746,1417876510413885444,,20
747,1034090962807545856,,12
748,1424468570168348680,,17
749,1184294344984952833,,574
750,16900182,,36
751,1353947454367035397,,2
752,1445290369088831492,,80
753,1385852940653535234,,2
754,1353847968919547904,,503
755,1370272381780910081,,79
756,1417050428907339776,,55
757,1415468643651973120,,1487
758,731904861181247488,,19
759,1265249092789125121,,440
760,1370037993315069952,,60
761,1129014693270573057,,56
762,1441807640640692224,,27
763,1427817827260502020,,47
764,1386814262920638465,,8
765,913302048564637696,,178
766,1446210823047692314,,19
767,1378795438824845314,,267
768,1391876939019800577,,103
769,1374618521393500163,,134
770,1438555155239079937,,13
771,50775199,,11
772,1442858245459218438,,8
773,1382470636908511233,,102
774,1436706290395451394,,14
775,1437754756164771845,,23
776,1019335827162214400,,1
777,603110314,,1
778,1401757352613662722,,193
779,1443927611986440193,,23
780,247178809,,42
781,1419636729351344131,,345
782,1417813251442810880,,10
783,1438688908057870339,,7
784,1344026419270135809,,42
785,1436350837148823553,,82
786,1366798401866780681,,15
787,1009619735644983296,,42
788,1430319395692232704,,2
789,1433557582635933700,,117
790,1424505151532912643,,8
791,90085039,,5
792,1432580548128436224,,121
793,389365568,,82
794,922010492142485504,,20
795,867408379391627265,,70
796,504286376,,35
797,1420797211160444929,,102
798,1161163129172008960,,8
799,722421481653702660,,4
800,1439246266173513730,,60
801,1396531457691054080,,7
802,1437502430405545989,,9
803,1445882911857729541,,13
804,1381349428003532808,,5
805,344353058,,20
806,1406395059189161985,,21
807,1441745212561182721,,148
808,880330594915241984,,1
809,1397541499940884482,,8
810,1433505855828201480,,70
811,1422982390708850698,,3
812,1362125988457504768,,32
813,1404420076233764865,,6
814,1418579802139803648,,3
815,3077600082,,5
816,1443451164289343494,,21
817,1432692610389274628,,17
818,1441632621243502594,,31
819,1033459112560996352,,76
820,1221390088942301185,,26
821,1437777697611071498,,19
822,2729214382,,129
823,1437041170794749958,,189
824,1432349321660354560,,75
825,1422177913269485574,,117
826,1425691216021127170,,87
827,1213991148160634882,,24
828,1436715791613927424,,116
829,1443183538384244738,,222
830,1442611154258325507,,279
831,1436029352953585682,,24
832,1441702589813252101,,60
833,1442034289671950337,,518
834,1438728188981440516,,43
835,1444226490871291905,,15
836,1362784845940711425,,11
837,1150022625198034945,,123
838,542318578,,1
839,364293459,,3
840,1434085826380668930,,6
841,1440379700006719491,,85
842,252900378,,418
843,1432484030772035584,,228
844,1367742878303219713,,7
845,1424942247242473474,,34
846,1361053678216515584,,117
847,1394825277079834624,,42
848,1431084820805955586,,6
849,1320881792690212865,,5
850,1188776663498272769,,48
851,1405568071687884805,,4
852,1433612231250382871,,7
853,1438606467716632576,,176
854,1007798748,,1
855,1438507976130629636,,25
856,951370255,,27
857,1439879370215084035,,16
858,1385546951211556866,,92
859,1365006674180919297,,57
860,1443403005504593927,,22
861,1436295537381167110,,38
862,1434904743495839745,,294
863,246233963,,62
864,1446736351638872064,,164
865,1072864006476488704,,1314
866,1432513671972986884,,45
867,1427754695091638272,,11
868,1437341512610766850,,27
869,1440755341159907329,,7
870,1434729785159266312,,8
871,1435352859416178689,,15
872,1392021570797719553,,68
873,130088653,,4
874,1419257807539474433,,159
875,1397455158536151044,,35
876,1438480586553892864,,3
877,1445049491015483400,,7
878,1326754509050187776,,63
879,925157550617632768,,144
880,1445734667143954438,,566
881,1434163962048880649,,37
882,1430057408949194755,,73
883,1445224996989648901,,4
884,1172924858797305857,,8
885,1430878811407650822,,53
886,1442406404388638725,,5
887,1376643064018526210,,7
888,1440681922598825994,,1
889,1442174546077884427,,98
890,1123668872299798539,,49
891,1392680622540296194,,13
892,1444890024084787203,,5
893,1333717519731892225,,205
894,1406386045856321540,,13
895,1438800426883710977,,27
896,1184437697609457664,,3
897,1437895688126451719,,24
898,2732425927,,110
899,1438362620960989188,,34
900,1400827250908581891,,18
901,1401444075736383489,,56
902,1447748404071878660,,1
903,1444300619465076736,,49
904,2817756092,,33
905,1441093480407650306,,17
906,1418005976226189315,,90
907,1385838000601399301,,6
908,1438955309222006784,,223
909,1400224555772297216,,10
910,1426424417085628425,,52
911,1366705915974549505,,7
912,1379528010928381967,,6
913,22051964,,5
914,1443586650869690389,,56
915,3119977766,,19
916,1444602501068636162,,8
917,1442050271136215042,,10
918,336186680,,402
919,1290836173166915586,,73
920,1082129849790025729,,18
921,1435685327084032001,,44
922,536582958,,219
923,1401603421904379905,,6
924,1436795672540418051,,2
925,1434542942568345600,,41
926,1445974558637322243,,33
927,1442491020222943245,,14
928,890014634266066944,,11
929,1425217002407436298,,25
930,1376213787922067463,,28
931,1440466071635443712,,119
932,988884489207152642,,17
933,1014265506,,47
934,1446022691316813825,,12
935,1326342746441834497,,4
936,1432928556410146816,,18
937,1409111757969182723,,2
938,7338132,,143
939,1432373603979304960,,18
940,1441640169837240320,,8
941,1394561471359569923,,7
942,1402437259366969344,,2
943,1430392824567111680,,128
944,942408358241370112,,6
945,1224637046834089985,,14
946,1355240843670663173,,1
947,1427349290603663367,,2
948,1431266003476877315,,41
949,1422600032784617477,,27
950,1402622739177824259,,7
951,1129381702407741441,,4
952,1386669266192142342,,2
953,1422801738059374595,,10
954,1438162838153953289,,6
955,151660778,,134
956,897007968,,6
957,1427180207727943689,,18
958,1396713579349434368,,6
959,1399763238372397057,,5
960,1437551339962310657,,44
961,160956165,,61
962,303855816,,1
963,1439475077909786626,,1
964,1420430820238635008,,76
965,1442277452491857926,,3
966,1375395006526193667,,56
967,1276775903654227970,,36
968,1103218563383549952,,32
969,1432636336385654788,,3
970,1445059726522388480,,3
971,1435993310854885381,,188
972,1434950501100044294,,171
973,219448208,,43
974,1308567154401267712,,2
975,1369129523866787844,,73
976,1381301967851376642,,47
977,1426221509270401025,,38
978,532555225,,2
979,1432653147504197644,,17
980,1361234721930289153,,38
981,1432592991802347520,,38
982,1436972849873530880,,4
983,1440877206910210050,,6
984,1430824101636198400,,4
985,248757990,,16
986,1414952209272516608,,6
987,1431329807619575812,,18
988,1431849115407687681,,13
989,1204245251663249413,,40
990,1445839536823488517,,88
991,1296580646001946625,,85
992,1446857996785659907,,18
993,1398352106986344460,,56
994,1441289596990459905,,69
995,1438607468897079296,,36
996,27553316,,131
997,1172156708275146757,,28
998,1440962017477767176,,108
999,1441702534494621697,,21
1000,1442229247972499462,,52
1001,1182963054620921856,,50
1002,1447326780642271235,,14
1003,1267955134337708032,,3
1004,1447591723404759042,,69
1005,1446619108812865537,,24
1006,1397617867277877249,,1
1007,1402308179409604612,,18
1008,1443639618730004481,,5
1009,1429939395822501888,,10
1010,16398274,,1
1011,1433541036844871689,,23
1012,1426051637420822530,,1
1013,825259071393656832,,1
1014,1444036884213092356,,14
1015,1440239391360749582,,8
1016,1432930160588701701,,11
1017,113019286,,184
1018,1443242194337509378,,21
1019,760521756310319104,,11
1020,1429862660175183880,,28
1021,2856629016,,2
1022,1434487221080530949,,72
1023,1175030707799887872,,27
1024,1269068043919003648,,8
1025,1429739187159326724,,91
1026,1443008656585289728,,8
1027,1427225580848746496,,11
1028,1443967366983925765,,2
1029,1436460809253752833,,14
1030,1447928179860066307,,2
1031,1373437779728769027,,1
1032,1362952185273720832,,1
1033,1429328665037312002,,142
1034,1430525008825049090,,1
1035,1447023992804724738,,32
1036,364618987,,6
1037,1410612174876078082,,15
1038,273599314,,9
1039,1441572987270938626,,10
1040,1430694823078469632,,185
1041,1444861142451425280,,3
1042,1282585489380454400,,14
1043,1405908402031665158,,1
1044,1363242254182195200,,7
1045,1418067027504238605,,30
1046,1435291672418660357,,93
1047,992828776932356098,,15
1048,3432015046,,169
1049,1444686051746922501,,77
1050,1425240356250136578,,75
1051,1203525098944126976,,20
1052,1383433464217686016,,106
1053,1596920208,,3
1054,1398465691645222916,,12
1055,1433638298887491601,,40
1056,1393914785209724928,,80
1057,1371870686445072384,,132
1058,1429165982732402695,,4
1059,235723504,,462
1060,1434182364851281923,,57
1061,1249090869615038466,,24
1062,1427517383883862016,,60
1063,1024632618715889669,,92
1064,1437757843768238084,,97
1065,859527559,,43
1066,1436368643701579777,,414
1067,1438458405111443460,,34
1068,1445795263470206982,,1
1069,1415607770653630466,,29
1070,1437783293378940933,,95
1071,1393320236904902656,,11
1072,1448010063977672704,,6
1073,1375821518077272071,,2
1074,1446163994511822856,,124
1075,1342779378241945600,,1
1076,1448303342791319559,,7
1077,1360813129320521728,,1
1078,1442821478219714565,,116
1079,1432476657223340035,,1
1080,1429577096213549056,,1
1081,1380341547154083844,,29
1082,149716091,,14
1083,1443005284465577984,,2
1084,121158213,,4
1085,1438770942956691458,,2
1086,1436185744419090448,,41
1087,1435619138521772034,,18
1088,1433097600924733442,,2
1089,1430023848083300354,,4
1090,1440571049276416000,,34
1091,1301612474068692992,,3
1092,1407307667987746825,,46
1093,2547865580,,9
1094,1443364351507718145,,3
1095,1440084662089568256,,9
1096,1445317577576566785,,23
1097,1354926641013731330,,1
1098,1434323955289055232,,9
1099,1445972330115584000,,2
1100,1362712589004898304,,22
1101,1445127626306297865,,20
1102,1418978130010726405,,1
1103,1445332169555988482,,9
1104,1347759638763094016,,4
1105,804861795399700480,,11
